x y g
172850.974985 411884.822209 -34.948263
169177.801916 411770.372232 -53.551398
165504.650329 411655.911658 -67.164491
161831.518969 411541.440737 -71.907571
158158.406731 411426.959770 -73.602098
154485.312589 411312.469084 -77.879970
150812.235379 411197.968950 -86.587895
147139.173855 411083.459655 -99.662075
143466.127093 410968.941527 -109.599265
139793.093862 410854.414836 -107.060417
136120.073014 410739.879880 -93.272145
132447.063484 410625.336962 -69.432799
128774.064209 410510.786397 -44.834416
125101.073908 410396.228448 -20.457086
121428.091534 410281.663405 4.497144
117755.116036 410167.091618 25.543202
114082.146228 410052.513340 42.413720
110409.181000 409937.928880 48.213233
106736.219175 409823.338506 33.240412
103063.259722 409708.742564 9.421537
99390.301411 409594.141281 -5.324526
95717.343213 409479.535027 -3.066776
92044.384054 409364.924081 7.055605
88371.422632 409250.308689 17.731096
84698.458018 409135.689220 24.251399
81025.488932 409021.065898 25.225954
77352.514375 408906.439078 23.778220
73679.533152 408791.809012 21.488836
70006.544130 408677.176011 14.556638
66333.546267 408562.540387 7.554315
62660.538368 408447.902423 -1.126275
58987.519403 408333.262432 -11.440323
55314.488118 408218.620668 -18.024507
51641.443486 408103.977466 -21.455381
47968.384267 407989.333073 -25.580190
44295.309514 407874.687864 -30.203398
40622.218005 407760.042068 -32.977676
36949.108655 407645.396015 -30.167602
33275.980244 407530.749968 -24.929386
29602.831774 407416.104272 -20.757348
25929.662045 407301.459167 -17.859013
22256.469988 407186.814997 -16.128894
18583.254486 407072.172037 -15.680976
14910.014332 406957.530587 -16.311445
11236.748495 406842.890941 -14.422271
7563.455788 406728.253382 -7.356760
3890.135104 406613.618211 2.960348
216.785344 406498.985731 12.281712
330942.238484 413095.953808 11.304980
327267.095383 412982.253771 10.336654
323592.021617 412868.530412 10.533158
319917.016069 412754.784017 9.804635
316242.077541 412641.014889 2.170121
312567.205004 412527.223333 -7.943541
308892.397351 412413.409658 -15.038623
305217.653411 412299.574146 -15.162190
301542.972012 412185.717084 -12.760682
297868.352069 412071.838780 -8.293425
294193.792570 411957.939567 -6.182584
290519.292216 411844.019691 -8.307430
286844.849934 411730.079464 -5.014468
283170.464657 411616.119200 -2.019177
279496.135246 411502.139198 14.800505
275821.860579 411388.139733 46.747284
272147.639444 411274.121114 63.064859
268473.470879 411160.083656 53.202123
264799.353620 411046.027618 41.864986
261125.286625 410931.953343 38.737935
257451.268724 410817.861090 42.041078
253777.298814 410703.751171 48.478747
250103.375804 410589.623892 62.336954
246429.498529 410475.479543 65.973327
242755.665906 410361.318434 58.393323
239081.876714 410247.140827 50.867993
235408.129953 410132.947047 41.195247
231734.424480 410018.737403 38.075090
228060.759090 409904.512153 42.409767
224387.132724 409790.271624 58.429483
220713.544259 409676.016100 72.715933
217039.992572 409561.745897 79.644643
213366.476552 409447.461304 75.282994
209692.995015 409333.162596 65.211174
206019.546938 409218.850089 62.920754
202346.131069 409104.524058 57.407400
198672.746459 408990.184865 44.333353
194999.391813 408875.832707 34.573059
191326.066106 408761.467964 32.063880
187652.768199 408647.090894 32.182736
183979.496941 408532.701803 19.226761
180306.251267 408418.300995 3.143693
176633.029975 408303.888729 -10.187808
172959.832074 408189.465364 -27.258731
169286.656297 408075.031148 -47.483884
165613.501598 407960.586391 -60.334741
161940.366794 407846.131368 -65.020913
158267.250918 407731.666435 -69.194870
154594.152649 407617.191823 -74.606026
150921.071036 407502.707883 -84.502152
147248.004767 407388.214849 -100.288558
143574.952904 407273.713065 -112.252842
139901.914287 407159.202836 -111.977469
136228.887699 407044.684404 -102.343649
132555.872139 406930.158115 -84.420247
128882.866388 406815.624253 -62.564762
125209.869395 406701.083106 -37.569759
121536.879952 406586.534963 -8.766658
117863.897013 406471.980131 16.573701
114190.919458 406357.418908 35.089008
110517.946172 406242.851603 39.486888
106844.975900 406128.278466 26.994192
103172.007694 406013.699828 7.262262
99499.040372 405899.115998 -6.024395
95826.072775 405784.527247 -5.571401
92153.103820 405669.933864 4.499741
88480.132416 405555.336184 17.814810
84807.157345 405440.734462 27.552496
81134.177538 405326.128999 31.162077
77461.191925 405211.520129 31.556131
73788.199299 405096.908110 30.298421
70115.198533 404982.293234 26.518091
66442.188584 404867.675801 19.520905
62769.168320 404753.056147 8.329054
59096.136559 404638.434536 -3.376436
55423.092201 404523.811239 -11.948884
51750.034136 404409.186587 -16.875073
48076.961268 404294.560873 -21.305865
44403.872428 404179.934399 -25.521840
40730.766463 404065.307418 -29.184780
37057.642364 403950.680272 -28.677981
33384.498972 403836.053267 -25.661905
29711.335081 403721.426638 -20.723161
26038.149613 403606.800727 -15.694146
22364.941513 403492.175840 -13.482152
18691.709510 403377.552203 -14.586122
15018.452696 403262.930203 -16.764508
11345.169728 403148.310072 -14.611838
7671.859644 403033.692139 -9.114491
3998.521256 402919.076707 0.331797
325.153399 402804.464016 11.335710
331050.889262 409400.019791 13.245445
327375.757717 409286.331379 15.272464
323700.695121 409172.619709 17.113997
320025.700420 409058.885108 14.243876
316350.772499 408945.127863 4.864528
312675.910233 408831.348301 -7.246466
309001.112374 408717.546664 -15.380576
305326.377966 408603.723293 -14.709243
301651.705832 408489.878485 -7.463748
297977.094735 408376.012497 -6.375967
294302.543734 408262.125686 -6.980319
290628.051594 408148.218319 -8.173242
286953.617173 408034.290676 -4.340017
283279.239468 407920.343099 0.888219
279604.917194 407806.375833 17.939565
275930.649429 407692.389258 48.368152
272256.434835 407578.383567 61.008041
268582.272428 407464.359123 49.789638
264908.161014 407350.316207 40.177827
261234.099554 407236.255143 36.053677
257560.086870 407122.176196 37.519546
253886.121787 407008.079644 43.355647
250212.203347 406893.965858 54.275711
246538.330242 406779.835061 57.641679
242864.501456 406665.687595 58.020611
239190.715766 406551.523710 51.446163
235516.972237 406437.343774 39.949487
231843.269577 406323.148037 39.041715
228169.606728 406208.936785 44.520968
224495.982548 406094.710346 57.469124
220822.395912 405980.468996 66.293493
217148.845770 405866.213064 71.376290
213475.330856 405751.942797 69.586345
209801.850205 405637.658543 63.120347
206128.402637 405523.360578 62.789066
202454.986981 405409.049170 59.990081
198781.602130 405294.724652 45.130483
195108.247005 405180.387300 29.088347
191434.920508 405066.037451 23.569419
187761.621422 404951.675337 24.436642
184088.348664 404837.301297 16.495335
180415.101166 404722.915634 5.977115
176741.877718 404608.518615 -7.117849
173068.677335 404494.110569 -25.859405
169395.498740 404379.691761 -46.654600
165722.340885 404265.262502 -57.879759
162049.202578 404150.823073 -61.473031
158376.082857 404036.373812 -65.037880
154702.980470 403921.914972 -71.302530
151029.894315 403807.446855 -82.736264
147356.823289 403692.969783 -98.723718
143683.766236 403578.484030 -110.385377
140010.722072 403463.989882 -113.744053
136337.689709 403349.487689 -108.274907
132664.667933 403234.977684 -96.180121
128991.655747 403120.460204 -77.174469
125318.651865 403005.935510 -53.108859
121645.655301 402891.403932 -23.903434
117972.664856 402776.865741 2.539459
114299.679480 402662.321266 20.711227
110626.697992 402547.770751 24.978088
106953.719265 402433.214542 16.517398
103280.742280 402318.652928 3.194537
99607.765713 402204.086147 -7.247229
95934.788686 402089.514585 -7.709819
92261.809889 401974.938475 1.811134
88588.828242 401860.358117 16.593779
84915.842736 401745.773844 29.374220
81242.852074 401631.185912 36.152409
77569.855267 401516.594632 37.283163
73896.851172 401402.000321 35.203265
70223.838583 401287.403239 33.828496
66550.816528 401172.803717 29.552889
62877.783732 401058.202013 19.300334
59204.739159 400943.598440 6.914432
55531.681613 400828.993299 -5.185600
51858.610075 400714.386879 -12.165629
48185.523360 400599.779495 -16.515163
44512.420381 400485.171423 -19.821349
40839.299975 400370.562956 -24.064042
37166.161052 400255.954399 -26.518670
33493.002462 400141.346049 -24.894965
29819.823054 400026.738192 -18.730243
26146.621770 399912.131112 -13.317402
22473.397534 399797.525163 -11.731496
18800.149069 399682.920578 -13.517938
15126.875397 399568.317699 -15.141356
11453.575330 399453.716779 -14.065334
7780.247742 399339.118145 -11.593214
4106.891453 399224.522051 -3.375866
433.505504 399109.928857 8.744396
331159.532339 405704.103844 9.854908
327484.412248 405590.426678 21.951900
323809.360787 405476.726338 24.087775
320134.376892 405363.003169 16.459423
316459.459446 405249.257449 7.712742
312784.607254 405135.489458 -6.167745
309109.819200 405021.699515 -15.586739
305435.094257 404907.887916 -13.012663
301760.431162 404794.054961 -5.296466
298085.828906 404680.200931 -7.463623
294411.286310 404566.326155 -7.310027
290736.802297 404452.430911 -6.700806
287062.375709 404338.515493 -3.811950
283388.005393 404224.580209 -0.087071
279713.690280 404110.625359 15.226036
276039.429231 403996.651244 33.760529
272365.221120 403882.658127 35.432488
268691.064806 403768.646350 32.002939
265016.959175 403654.616178 32.712332
261342.903104 403540.567928 31.909436
257668.895557 403426.501913 32.524592
253994.935280 403312.418396 37.108027
250321.021171 403198.317677 45.832438
246647.152209 403084.200077 53.093752
242973.327154 402970.065871 63.563108
239299.544993 402855.915391 53.473299
235625.804502 402741.748889 41.701406
231952.104606 402627.566675 39.487742
228278.444159 402513.369058 46.142330
224604.822097 402399.156341 53.602582
220931.237218 402284.928794 59.206135
217257.688461 402170.686753 60.934905
213584.174713 402056.430486 63.535850
209910.694783 401942.160274 63.468649
206237.247625 401827.876470 65.955538
202563.832072 401713.579312 65.718297
198890.447014 401599.269132 52.851279
195217.091284 401484.946210 33.596020
191543.763872 401370.610857 21.687905
187870.463541 401256.263351 17.650769
184197.189213 401141.904003 10.896351
180523.939817 401027.533113 3.793720
176850.714134 400913.150956 -9.113727
173177.511106 400798.757839 -27.667660
169504.329592 400684.354080 -46.555428
165831.168479 400569.939938 -57.242201
162158.026637 400455.515735 -60.450468
158484.903029 400341.081785 -61.770090
154811.796321 400226.638324 -68.442257
151138.705635 400112.185707 -80.357169
147465.629644 399997.724192 -94.680811
143792.567407 399883.254104 -107.120785
140119.517686 399768.775719 -114.715322
136446.479399 399654.289338 -113.599447
132773.451391 399539.795264 -104.686733
129100.432519 399425.293766 -87.411873
125427.421788 399310.785191 -64.339530
121754.417989 399196.269806 -38.160463
118081.419996 399081.747894 -12.703100
114408.426680 398967.219759 5.650670
110735.436919 398852.685706 13.514187
107062.449601 398738.146025 10.318264
103389.463692 398623.601038 1.937454
99716.477944 398509.050990 -7.531912
96043.491249 398394.496212 -8.884704
92370.502598 398279.937005 -0.476612
88697.510679 398165.373612 14.083594
85024.514551 398050.806409 28.696082
81351.513072 397936.235654 38.455220
77678.505017 397821.661629 40.557540
74005.489322 397707.084638 37.992839
70332.464855 397592.504973 38.076509
66659.430477 397477.922944 37.652545
62986.385072 397363.338829 31.492762
59313.327592 397248.752956 18.659729
55640.256850 397134.165591 3.887658
51967.171738 397019.577042 -5.474778
48294.071078 396904.987588 -10.268211
44620.953846 396790.397555 -14.614755
40947.818878 396675.807215 -20.159284
37274.665008 396561.216869 -23.831232
33601.491156 396446.626817 -23.135901
29928.296247 396332.037369 -17.066668
26255.079061 396217.448788 -12.154386
22581.838534 396102.861388 -10.408058
18908.573524 395988.275469 -11.410887
15235.282909 395873.691316 -12.629912
11561.965563 395759.109223 -15.039957
7888.620435 395644.529529 -16.171104
4215.246273 395529.952456 -9.372331
541.842038 395415.378346 2.642321
331268.168134 402008.203064 19.692237
327593.059384 401894.536822 35.961996
323918.019009 401780.847522 31.125254
320243.045797 401667.135451 20.590089
316568.138695 401553.400928 10.923827
312893.296579 401439.644247 -4.059861
309218.518261 401325.865681 -13.374803
305543.802622 401212.065548 -11.826976
301869.148631 401098.244163 -8.438384
298194.555044 400984.401781 -8.700764
294520.020831 400870.538738 -7.814758
290845.544835 400756.655307 -6.066182
287171.125891 400642.751791 -5.479346
283496.762920 400528.828499 0.104387
279822.454844 400414.885742 14.745767
276148.200452 400300.923784 19.285578
272473.998678 400186.942940 15.913601
268799.848389 400072.943501 19.087995
265125.748459 399958.925773 26.233328
261451.697762 399844.890059 27.434679
257777.695182 399730.836658 27.788268
254103.739619 399616.765839 32.356596
250429.829881 399502.677918 39.263307
246755.964873 399388.573188 48.991963
243082.143499 399274.451953 57.741347
239408.364671 399160.314520 46.820575
235734.627157 399046.161157 37.644177
232060.929951 398931.992189 37.311666
228387.271907 398817.807913 44.562534
224713.651810 398703.608594 50.470199
221040.068597 398589.394547 54.939185
217366.521211 398475.166089 56.293363
213693.008454 398360.923488 59.703414
210019.529203 398246.667053 64.610666
206346.082344 398132.397079 68.328849
202672.666770 398018.113858 69.564915
198999.281375 397903.817700 62.280231
195325.925060 397789.508908 43.266855
191652.596583 397675.187748 26.352766
187979.294932 397560.854543 17.307693
184306.018956 397446.509565 9.472749
180632.767566 397332.153155 1.448303
176959.539551 397217.785556 -12.832561
173286.333845 397103.407082 -29.975054
169613.149310 396989.018034 -46.832551
165939.984891 396874.618730 -58.555987
162266.839387 396760.209449 -61.107679
158593.711685 396645.790468 -61.044946
154920.600743 396531.362120 -67.462269
151247.505310 396416.924647 -78.612041
147574.424419 396302.478427 -90.713955
143901.356768 396188.023654 -104.356986
140228.301398 396073.560719 -114.674770
136555.257078 395959.089872 -116.360171
132882.222735 395844.611401 -108.903445
129209.197211 395730.125613 -92.086513
125536.179511 395615.632844 -71.548297
121863.168354 395501.133316 -47.766635
118190.162673 395386.627374 -21.223416
114517.161344 395272.115292 -1.406168
110844.163240 395157.597384 11.159545
107171.167322 395043.073952 10.975937
103498.172328 394928.545257 4.053285
99825.177224 394814.011622 -5.510321
96152.180914 394699.473340 -8.771089
92479.182219 394584.930710 -2.955183
88806.180054 394470.384027 9.479365
85133.173259 394355.833576 25.565718
81460.160680 394241.279641 38.614510
77787.141316 394126.722557 43.180490
74114.113947 394012.162598 41.985442
70441.077442 393897.600035 42.654686
66768.030732 393783.035212 44.084597
63094.972770 393668.468428 40.698876
59421.902216 393553.899897 29.833738
55748.818165 393439.330017 14.466024
52075.719365 393324.759019 2.776810
48402.604710 393210.187204 -4.059707
44729.473166 393095.614917 -10.518531
41056.323498 392981.042396 -16.660677
37383.154689 392866.469970 -21.076831
33709.965502 392751.897907 -21.156839
30036.754855 392637.326527 -16.351511
26363.521682 392522.756122 -11.755499
22690.264833 392408.186998 -8.265077
19016.983176 392293.619429 -6.817730
15343.675573 392179.053723 -8.592477
11670.340904 392064.490158 -14.584634
7996.978042 391949.929046 -18.754542
4323.585941 391835.370708 -14.358805
650.163427 391720.815403 -3.559997
331376.796887 398312.319287 31.311563
327701.699454 398198.663635 42.274874
324026.669986 398084.985001 32.037195
320351.707416 397971.283709 24.923538
316676.810617 397857.560033 14.142392
313001.978380 397743.814270 -3.070496
309327.209660 397630.046741 -10.080929
305652.503344 397516.257723 -12.501760
301977.858240 397402.447521 -15.278160
298303.273320 397288.616449 -14.328630
294628.747333 397174.764772 -13.221379
290954.279263 397060.892809 -9.734147
287279.867936 396947.000870 -7.163417
283605.512281 396833.089225 3.606040
279931.211134 396719.158198 15.527166
276256.963353 396605.208066 14.758424
272582.767795 396491.239119 10.412021
268908.623469 396377.251705 13.123575
265234.529100 396263.246059 20.760714
261560.483711 396149.222523 22.705026
257886.486028 396035.181364 23.731673
254212.535013 395921.122896 26.966520
250538.629555 395807.047426 30.383971
246864.768480 395692.955223 39.302192
243190.950686 395578.846600 42.087267
239517.175076 395464.721869 35.741367
235843.440573 395350.581311 28.970458
232169.745932 395236.425232 33.205699
228496.090089 395122.253905 41.202186
224822.471893 395008.067637 49.909137
221148.890352 394893.866754 57.754581
217475.344179 394779.651531 62.448822
213801.832325 394665.422255 66.043567
210128.353665 394551.179229 70.498680
206454.907078 394436.922762 71.210947
202781.491377 394322.653127 69.488652
199108.105603 394208.370661 67.866608
195434.748510 394094.075620 53.956202
191761.418923 393979.768293 37.668592
188088.115894 393865.449041 25.325282
184414.838125 393751.118083 16.162970
180741.584597 393636.775777 4.100243
177068.354172 393522.422384 -13.536257
173395.145772 393408.058234 -32.115116
169721.958191 393293.683583 -48.603178
166048.790295 393179.298724 -60.083234
162375.641024 393064.903993 -63.721768
158702.509263 392950.499667 -64.132994
155029.393894 392836.086043 -68.777388
151356.293726 392721.663414 -77.911313
147683.207661 392607.232062 -89.044528
144010.134591 392492.792308 -103.267590
140337.073497 392378.344472 -113.259421
136664.023073 392263.888776 -115.230492
132990.982299 392149.425573 -106.894020
129317.950026 392034.955147 -92.168882
125644.925184 391920.477790 -75.086234
121971.906625 391805.993810 -52.062179
118298.893212 391691.503497 -24.083487
114625.883748 391577.007102 -0.242033
110952.877244 391462.504995 15.684437
107279.872584 391347.997451 16.691353
103606.868507 391233.484721 9.723547
99933.863977 391118.967129 -0.801269
96260.857879 391004.445002 -8.300193
92587.849127 390889.918607 -6.626435
88914.836470 390775.388229 3.582261
85241.818972 390660.854202 20.857665
81568.795325 390546.316782 37.030913
77895.764532 390431.776273 45.580617
74222.725361 390317.232977 46.814257
70549.676829 390202.687204 46.894290
66876.617718 390088.139238 47.963786
63203.546906 389973.589354 47.260295
59530.463338 389859.037879 39.370886
55857.365815 389744.485104 24.470666
52184.253305 389629.931323 11.360918
48511.124547 389515.376807 1.455909
44837.978584 389400.821895 -7.059135
41164.814172 389286.266852 -13.518927
37491.630221 389171.711963 -18.948226
33818.425635 389057.157564 -20.749074
30145.199264 388942.603919 -18.205253
26471.950028 388828.051349 -12.270547
22798.676711 388713.500108 -5.525625
19125.378313 388598.950551 -2.088535
15452.053629 388484.402937 -3.628115
11778.701534 388369.857549 -10.886559
8105.320970 388255.314724 -16.778154
4431.910750 388140.774717 -15.067616
758.469754 388026.237843 -7.937643
331485.419010 394616.451869 32.518505
327810.332800 394502.806460 38.517958
324135.314209 394389.138177 29.036599
320460.362180 394275.447284 28.152379
316785.475562 394161.734130 15.675180
313110.653231 394047.998979 -2.373138
309435.893988 393934.242110 -9.016065
305761.196855 393820.463867 -14.380920
302086.560641 393706.664544 -20.092324
298411.984169 393592.844395 -20.305848
294737.466400 393479.003766 -18.747187
291063.006162 393365.142946 -13.683309
287388.602365 393251.262218 -9.030510
283714.253848 393137.361867 1.898084
280039.959521 393023.442229 13.795516
276365.718313 392909.503585 14.450302
272691.528926 392795.546204 11.623043
269017.390437 392681.570447 12.848292
265343.301570 392567.576547 18.820894
261669.261344 392453.564837 21.159512
257995.268479 392339.535601 22.867090
254321.322008 392225.489155 22.690354
250647.420742 392111.425792 23.663709
246973.563503 391997.345779 33.150942
243299.749184 391883.249427 34.971396
239625.976764 391769.137055 30.259759
235952.245073 391655.008962 25.011119
232278.552883 391540.865398 29.347561
228604.899255 391426.706719 38.658157
224931.282897 391312.533165 53.042083
221257.702806 391198.345091 65.922033
217584.157779 391084.142734 75.154720
213910.646744 390969.926448 79.019478
210237.168587 390855.696489 79.964215
206563.722176 390741.453180 74.898467
202890.306397 390627.196810 69.351533
199216.920061 390512.927672 69.411821
195543.562069 390398.646037 61.962809
191870.231389 390284.352253 50.437884
188196.926780 390170.046574 38.184302
184523.647224 390055.729330 28.798004
180850.391491 389941.400783 13.360464
177177.158577 389827.061253 -8.372899
173503.947330 389712.711050 -29.846028
169830.756536 389598.350437 -47.387117
166157.585136 389483.979709 -59.207382
162484.432067 389369.599203 -66.040782
158811.296130 389255.209188 -67.802476
155138.176212 389140.809942 -71.120733
151465.071188 389026.401790 -78.502154
147791.979952 388911.985023 -88.531807
144118.901402 388797.559932 -100.581987
140445.834438 388683.126831 -108.804033
136772.777822 388568.685964 -110.218585
133099.730532 388454.237684 -102.564401
129426.691487 388339.782297 -91.145074
125753.659401 388225.320003 -76.260947
122080.633332 388110.851220 -55.523910
118407.612076 387996.376175 -27.719254
114734.594494 387881.895178 0.064582
111061.579463 387767.408502 19.644869
107388.565852 387652.916462 24.452750
103715.552691 387538.419403 18.822946
100042.538647 387423.917540 6.108945
96369.522687 387309.411198 -6.544873
92696.503706 387194.900688 -9.887330
89023.480606 387080.386313 -1.769300
85350.452224 386965.868346 15.529542
81677.417399 386851.347078 35.220265
78004.375051 386736.822809 48.372641
74331.324102 386622.295859 52.431231
70658.263335 386507.766492 50.953935
66985.191757 386393.235045 50.817424
