NaN	NaN	z	density	stdev
568542.084824	4724285.82861	5750	2.50156520277214	NaN
568542.084824	4724285.82861	6350	2.54878832276942	NaN
568542.084824	4724285.82861	6950	2.57771947143767	NaN
568542.084824	4724285.82861	7550	2.60202929261923	NaN
568542.084824	4724285.82861	8150	2.62771799648202	NaN
568542.084824	4724285.82861	8750	2.65431377835735	NaN
568542.084824	4724285.82861	9350	2.68243586123767	NaN
568542.084824	4724285.82861	9950	2.71195477404221	NaN
568542.084824	4724285.82861	10550	2.74313651834308	NaN
568542.084824	4724285.82861	11150	2.77534323580272	NaN
568542.084824	4724285.82861	11750	2.80926598525402	NaN
568542.084824	4724285.82861	12350	2.84011916490222	NaN
568542.084824	4724285.82861	12950	2.86609937511365	NaN
568542.084824	4724285.82861	13550	2.87924295959556	NaN
568542.084824	4724285.82861	14150	2.88375426831191	NaN
568542.084824	4724285.82861	14750	2.88855442357486	NaN
568542.084824	4724285.82861	15350	2.89311005711823	NaN
568542.084824	4724285.82861	15950	2.89795710501445	NaN
568542.084824	4724285.82861	16550	2.90255698551208	NaN
568542.084824	4724285.82861	17150	2.90717832547103	NaN
568542.084824	4724285.82861	17750	2.91209487365307	NaN
568542.084824	4724285.82861	18350	2.91648529111447	NaN
568542.084824	4724285.82861	18950	2.9217235159854	NaN
568542.084824	4724285.82861	19550	2.92615534575697	NaN
568542.084824	4724285.82861	20150	2.93144268190591	NaN
568542.084824	4724285.82861	20750	2.935915810409	NaN
568542.084824	4724285.82861	21350	2.94125211643211	NaN
568542.084824	4724285.82861	21950	2.94604918687766	NaN
568542.084824	4724285.82861	22550	2.95143570092602	NaN
568542.084824	4724285.82861	23150	2.95627761683309	NaN
568542.084824	4724285.82861	23750	2.96085400851849	NaN
568542.084824	4724285.82861	24350	2.96602477308506	NaN
568542.084824	4724285.82861	24950	2.968042	NaN
568542.084824	4724285.82861	25550	2.968042	NaN
568542.084824	4724285.82861	26150	2.968042	NaN
568542.084824	4724285.82861	26750	2.968042	NaN
568542.084824	4724285.82861	27350	2.968042	NaN
568542.084824	4724285.82861	27950	2.968042	NaN
568542.084824	4724285.82861	28550	2.968042	NaN
568542.084824	4724285.82861	29150	2.968042	NaN
568542.084824	4724285.82861	29750	2.968042	NaN
567712.891823	4721275.50652	300	1.62862660027994	NaN
567712.891823	4721275.50652	900	1.62862660027994	NaN
567712.891823	4721275.50652	1500	1.62862660027994	NaN
567712.891823	4721275.50652	2100	1.62862660027994	NaN
567712.891823	4721275.50652	2700	1.65288736778057	NaN
567712.891823	4721275.50652	3300	2.01274513095449	NaN
567712.891823	4721275.50652	3900	2.26744864800412	NaN
567712.891823	4721275.50652	4500	2.36998299285837	NaN
567712.891823	4721275.50652	5100	2.43661133938365	NaN
567712.891823	4721275.50652	5700	2.50214715907122	NaN
567712.891823	4721275.50652	6300	2.55132361323142	NaN
567712.891823	4721275.50652	6900	2.58428223719118	NaN
567712.891823	4721275.50652	7500	2.61051261274473	NaN
567712.891823	4721275.50652	8100	2.63793871699505	NaN
567712.891823	4721275.50652	8700	2.66681882042383	NaN
567712.891823	4721275.50652	9300	2.69764169015088	NaN
567712.891823	4721275.50652	9900	2.72943555824508	NaN
567712.891823	4721275.50652	10500	2.76352497891617	NaN
567712.891823	4721275.50652	11100	2.79883513387728	NaN
567712.891823	4721275.50652	11700	2.83607349608918	NaN
567712.891823	4721275.50652	12300	2.86740533397113	NaN
567712.891823	4721275.50652	12900	2.88242517630302	NaN
567712.891823	4721275.50652	13500	2.89069557148594	NaN
567712.891823	4721275.50652	14100	2.8949921570092	NaN
567712.891823	4721275.50652	14700	2.8993077821279	NaN
567712.891823	4721275.50652	15300	2.90364242983287	NaN
567712.891823	4721275.50652	15900	2.90799608198185	NaN
567712.891823	4721275.50652	16500	2.91236871931291	NaN
567712.891823	4721275.50652	17100	2.91676032145768	NaN
567712.891823	4721275.50652	17700	2.92117086695479	NaN
567712.891823	4721275.50652	18300	2.92560033326313	NaN
567712.891823	4721275.50652	18900	2.93004869677523	NaN
567712.891823	4721275.50652	19500	2.9342361781517	NaN
567712.891823	4721275.50652	20100	2.93928302107966	NaN
567712.891823	4721275.50652	20700	2.94322481145479	NaN
567712.891823	4721275.50652	21300	2.94831396841285	NaN
567712.891823	4721275.50652	21900	2.95257307316557	NaN
567712.891823	4721275.50652	22500	2.95684864327935	NaN
567712.891823	4721275.50652	23100	2.96142737140133	NaN
567712.891823	4721275.50652	23700	2.9657368890139	NaN
567712.891823	4721275.50652	24300	2.968042	NaN
567712.891823	4721275.50652	24900	2.968042	NaN
567712.891823	4721275.50652	25500	2.968042	NaN
567712.891823	4721275.50652	26100	2.968042	NaN
567712.891823	4721275.50652	26700	2.968042	NaN
567712.891823	4721275.50652	27300	2.968042	NaN
567712.891823	4721275.50652	27900	2.968042	NaN
567712.891823	4721275.50652	28500	2.968042	NaN
567712.891823	4721275.50652	29100	2.968042	NaN
567712.891823	4721275.50652	29700	2.968042	NaN
566883.743697	4718263.95782	250	1.62733176879961	NaN
566883.743697	4718263.95782	850	1.62733176879961	NaN
566883.743697	4718263.95782	1450	1.62733176879961	NaN
566883.743697	4718263.95782	2050	1.62733176879961	NaN
566883.743697	4718263.95782	2650	1.63955990284804	NaN
566883.743697	4718263.95782	3250	1.99120956744795	NaN
566883.743697	4718263.95782	3850	2.25375495604384	NaN
566883.743697	4718263.95782	4450	2.35778250529123	NaN
566883.743697	4718263.95782	5050	2.43004255094859	NaN
566883.743697	4718263.95782	5650	2.50083849223643	NaN
566883.743697	4718263.95782	6250	2.56647419392	NaN
566883.743697	4718263.95782	6850	2.60660724938238	NaN
566883.743697	4718263.95782	7450	2.63345494330188	NaN
566883.743697	4718263.95782	8050	2.66170539176869	NaN
566883.743697	4718263.95782	8650	2.69163699490493	NaN
566883.743697	4718263.95782	9250	2.72268959877453	NaN
566883.743697	4718263.95782	9850	2.75552545326514	NaN
566883.743697	4718263.95782	10450	2.78973187834984	NaN
566883.743697	4718263.95782	11050	2.82579387969754	NaN
566883.743697	4718263.95782	11650	2.86349306048905	NaN
566883.743697	4718263.95782	12250	2.89849715290367	NaN
566883.743697	4718263.95782	12850	2.91373905873437	NaN
566883.743697	4718263.95782	13450	2.91979053789729	NaN
566883.743697	4718263.95782	14050	2.92393706759034	NaN
566883.743697	4718263.95782	14650	2.92782215438547	NaN
566883.743697	4718263.95782	15250	2.93144268190591	NaN
566883.743697	4718263.95782	15850	2.93535563856659	NaN
566883.743697	4718263.95782	16450	2.93900201572906	NaN
566883.743697	4718263.95782	17050	2.94266081712801	NaN
566883.743697	4718263.95782	17650	2.94689793005734	NaN
566883.743697	4718263.95782	18250	2.95029950003093	NaN
566883.743697	4718263.95782	18850	2.95456629171596	NaN
566883.743697	4718263.95782	19450	2.95827748794018	NaN
566883.743697	4718263.95782	20050	2.96142737140133	NaN
566883.743697	4718263.95782	20650	2.96516133935409	NaN
566883.743697	4718263.95782	21250	2.968042	NaN
566883.743697	4718263.95782	21850	2.968042	NaN
566883.743697	4718263.95782	22450	2.968042	NaN
566883.743697	4718263.95782	23050	2.968042	NaN
566883.743697	4718263.95782	23650	2.968042	NaN
566883.743697	4718263.95782	24250	2.968042	NaN
566883.743697	4718263.95782	24850	2.968042	NaN
566883.743697	4718263.95782	25450	2.968042	NaN
566883.743697	4718263.95782	26050	2.968042	NaN
566883.743697	4718263.95782	26650	2.968042	NaN
566883.743697	4718263.95782	27250	2.968042	NaN
566883.743697	4718263.95782	27850	2.968042	NaN
566883.743697	4718263.95782	28450	2.968042	NaN
566883.743697	4718263.95782	29050	2.968042	NaN
566883.743697	4718263.95782	29650	2.968042	NaN
566054.667873	4715253.40496	200	1.62927333808313	NaN
566054.667873	4715253.40496	800	1.62927333808313	NaN
566054.667873	4715253.40496	1400	1.62927333808313	NaN
566054.667873	4715253.40496	2000	1.62927333808313	NaN
566054.667873	4715253.40496	2600	1.63250025824326	NaN
566054.667873	4715253.40496	3200	1.94448773530952	NaN
566054.667873	4715253.40496	3800	2.22755748837533	NaN
566054.667873	4715253.40496	4400	2.34723837992203	NaN
566054.667873	4715253.40496	5000	2.43113730575342	NaN
566054.667873	4715253.40496	5600	2.51375304774867	NaN
566054.667873	4715253.40496	6200	2.60360940551503	NaN
566054.667873	4715253.40496	6800	2.65046216641489	NaN
566054.667873	4715253.40496	7400	2.67537654831772	NaN
566054.667873	4715253.40496	8000	2.7013985390453	NaN
566054.667873	4715253.40496	8600	2.72834280266109	NaN
566054.667873	4715253.40496	9200	2.75643512221822	NaN
566054.667873	4715253.40496	9800	2.78545731179133	NaN
566054.667873	4715253.40496	10400	2.81613236399809	NaN
566054.667873	4715253.40496	11000	2.8477564127385	NaN
566054.667873	4715253.40496	11600	2.88003750714998	NaN
566054.667873	4715253.40496	12200	2.91319070076187	NaN
566054.667873	4715253.40496	12800	2.93815944080227	NaN
566054.667873	4715253.40496	13400	2.95001563288447	NaN
566054.667873	4715253.40496	14000	2.95513644099107	NaN
566054.667873	4715253.40496	14600	2.95799157291906	NaN
566054.667873	4715253.40496	15200	2.96114065348405	NaN
566054.667873	4715253.40496	15800	2.96372374006005	NaN
566054.667873	4715253.40496	16400	2.96717703745668	NaN
566054.667873	4715253.40496	17000	2.968042	NaN
566054.667873	4715253.40496	17600	2.968042	NaN
566054.667873	4715253.40496	18200	2.968042	NaN
566054.667873	4715253.40496	18800	2.968042	NaN
566054.667873	4715253.40496	19400	2.968042	NaN
566054.667873	4715253.40496	20000	2.968042	NaN
566054.667873	4715253.40496	20600	2.968042	NaN
566054.667873	4715253.40496	21200	2.968042	NaN
566054.667873	4715253.40496	21800	2.968042	NaN
566054.667873	4715253.40496	22400	2.968042	NaN
566054.667873	4715253.40496	23000	2.968042	NaN
566054.667873	4715253.40496	23600	2.968042	NaN
566054.667873	4715253.40496	24200	2.968042	NaN
566054.667873	4715253.40496	24800	2.968042	NaN
566054.667873	4715253.40496	25400	2.968042	NaN
566054.667873	4715253.40496	26000	2.968042	NaN
566054.667873	4715253.40496	26600	2.968042	NaN
566054.667873	4715253.40496	27200	2.968042	NaN
566054.667873	4715253.40496	27800	2.968042	NaN
566054.667873	4715253.40496	28400	2.968042	NaN
566054.667873	4715253.40496	29000	2.968042	NaN
566054.667873	4715253.40496	29600	2.968042	NaN
565225.640645	4712241.62486	150	1.63056545913013	NaN
565225.640645	4712241.62486	750	1.63056545913013	NaN
565225.640645	4712241.62486	1350	1.63056545913013	NaN
565225.640645	4712241.62486	1950	1.63056545913013	NaN
565225.640645	4712241.62486	2550	1.63185577584968	NaN
565225.640645	4712241.62486	3150	1.89085846486914	NaN
565225.640645	4712241.62486	3750	2.22122166035466	NaN
565225.640645	4712241.62486	4350	2.34951944521091	NaN
565225.640645	4712241.62486	4950	2.43866487746921	NaN
565225.640645	4712241.62486	5550	2.5281700331902	NaN
565225.640645	4712241.62486	6150	2.62533033312525	NaN
565225.640645	4712241.62486	6750	2.6711814108243	NaN
565225.640645	4712241.62486	7350	2.69370090517218	NaN
565225.640645	4712241.62486	7950	2.71729976279553	NaN
565225.640645	4712241.62486	8550	2.74157562141804	NaN
565225.640645	4712241.62486	9150	2.76698098498925	NaN
565225.640645	4712241.62486	9750	2.7930732012827	NaN
565225.640645	4712241.62486	10350	2.81983487605227	NaN
565225.640645	4712241.62486	10950	2.84801214715015	NaN
565225.640645	4712241.62486	11550	2.87686334455093	NaN
565225.640645	4712241.62486	12150	2.90663352533412	NaN
565225.640645	4712241.62486	12750	2.93563568769025	NaN
565225.640645	4712241.62486	13350	2.95827748794018	NaN
565225.640645	4712241.62486	13950	2.9657368890139	NaN
565225.640645	4712241.62486	14550	2.968042	NaN
565225.640645	4712241.62486	15150	2.968042	NaN
565225.640645	4712241.62486	15750	2.968042	NaN
565225.640645	4712241.62486	16350	2.968042	NaN
565225.640645	4712241.62486	16950	2.968042	NaN
565225.640645	4712241.62486	17550	2.968042	NaN
565225.640645	4712241.62486	18150	2.968042	NaN
565225.640645	4712241.62486	18750	2.968042	NaN
565225.640645	4712241.62486	19350	2.968042	NaN
565225.640645	4712241.62486	19950	2.968042	NaN
565225.640645	4712241.62486	20550	2.968042	NaN
565225.640645	4712241.62486	21150	2.968042	NaN
565225.640645	4712241.62486	21750	2.968042	NaN
565225.640645	4712241.62486	22350	2.968042	NaN
565225.640645	4712241.62486	22950	2.968042	NaN
565225.640645	4712241.62486	23550	2.968042	NaN
565225.640645	4712241.62486	24150	2.968042	NaN
565225.640645	4712241.62486	24750	2.968042	NaN
565225.640645	4712241.62486	25350	2.968042	NaN
565225.640645	4712241.62486	25950	2.968042	NaN
565225.640645	4712241.62486	26550	2.968042	NaN
565225.640645	4712241.62486	27150	2.968042	NaN
565225.640645	4712241.62486	27750	2.968042	NaN
565225.640645	4712241.62486	28350	2.968042	NaN
565225.640645	4712241.62486	28950	2.968042	NaN
565225.640645	4712241.62486	29550	2.968042	NaN
564396.688853	4709230.84002	100	1.63185577584968	NaN
564396.688853	4709230.84002	700	1.63185577584968	NaN
564396.688853	4709230.84002	1300	1.63185577584968	NaN
564396.688853	4709230.84002	1900	1.63185577584968	NaN
564396.688853	4709230.84002	2500	1.63185577584968	NaN
564396.688853	4709230.84002	3100	1.83122809381916	NaN
564396.688853	4709230.84002	3700	2.22210275324842	NaN
564396.688853	4709230.84002	4300	2.35404561255744	NaN
564396.688853	4709230.84002	4900	2.44154126560688	NaN
564396.688853	4709230.84002	5500	2.5261961274331	NaN
564396.688853	4709230.84002	6100	2.61462692729041	NaN
