x_c y_c z_c m m_abs mu_pr mu_abs sigma_pr post_stdev post_res
-500000.000000 35348.654384 4822.655752 352.9640 2899.6676 353.2964 2900.0000 20.0000 12.8244 0.5888
-500000.000000 35348.654384 5953.571511 193.9526 2884.4175 209.5352 2900.0000 50.0000 25.3651 0.7426
-500000.000000 35348.654384 7203.521511 93.8857 2845.3101 148.5755 2900.0000 100.0000 38.9031 0.8487
-500000.000000 35348.654384 8572.505752 106.9576 2915.1143 216.9016 3025.0583 161.5851 53.9435 0.8886
-500000.000000 35348.654384 10060.524234 124.7777 3026.2920 188.4007 3089.9151 179.9318 57.5623 0.8977
-500000.000000 35348.654384 11667.576957 101.8711 3060.9654 126.1155 3085.2099 192.3114 59.8277 0.9032
-500000.000000 35348.654384 13393.663921 79.7381 3086.7053 70.9242 3077.8914 204.9992 62.0029 0.9085
-500000.000000 35348.654384 15238.785126 62.5464 3105.9880 29.0012 3072.4428 218.1936 64.1367 0.9136
-500000.000000 35348.654384 17202.940572 66.1564 3135.3853 9.4897 3078.7186 232.6171 66.3928 0.9185
-500000.000000 35348.654384 19286.130259 77.5431 3171.1896 10.9126 3104.5591 248.7861 68.7610 0.9236
-500000.000000 35348.654384 21488.354186 76.2264 3183.0585 16.5828 3123.4148 264.2683 70.8670 0.9281
-500000.000000 35348.654384 23809.612355 51.4639 3166.0529 8.8259 3123.4148 278.0303 72.9754 0.9311
-500000.000000 58914.423973 60.562355 -16.5207 1026.5598 -16.0805 1027.0000 5.0000 3.5082 0.5077
-500000.000000 58914.423973 239.204186 -119.0937 1024.1739 -116.2675 1027.0000 5.0000 3.5058 0.5084
-500000.000000 58914.423973 536.880259 -162.0088 1023.1342 -158.1430 1027.0000 5.0000 3.5048 0.5087
-500000.000000 58914.423973 953.590572 -233.9128 1021.3615 -228.2744 1027.0000 5.0000 3.5037 0.5090
-500000.000000 58914.423973 1489.335126 -317.2695 1019.2501 -309.5196 1027.0000 5.0000 3.5031 0.5091
-500000.000000 58914.423973 2144.113921 -412.2132 1016.8148 -402.0280 1027.0000 5.0000 3.5031 0.5091
-500000.000000 58914.423973 2917.926957 -536.0530 1014.3654 -523.4184 1027.0000 5.0000 3.5035 0.5090
