X,Y,Z,formation,formationID
600197.29263,4726586.55149,2372.69029,seds1_PA,4
601149.69305,4726274.39578,2244.28376,seds1_PA,4
602101.24413,4725962.09608,2064.34038,seds1_PA,4
603052.71712,4725650.7508,1890.93805,seds1_PA,4
604019.04216,4725334.53495,1772.27364,seds1_PA,4
609377.22263,4723577.70894,411.793,seds1_PA,4
610328.72274,4723266.26048,360.59933,seds1_PA,4
611280.12566,4722954.65487,355.46175,seds1_PA,4
612231.43137,4722642.89212,273.37889,seds1_PA,4
613182.63987,4722330.97224,299.83378,seds1_PA,4
614133.75114,4722018.89522,311.80353,seds1_PA,4
615085.53813,4721707.75757,300.89188,seds1_PA,4
616036.45504,4721395.36617,286.52708,seds1_PA,4
616987.29704,4721083.92899,281.52668,seds1_PA,4
617938.793,4720772.31946,280.36003,seds1_PA,4
618889.44112,4720460.56791,288.12027,seds1_PA,4
619840.74311,4720148.64378,292.2678,seds1_PA,4
620791.22039,4719837.68923,295.22471,seds1_PA,4
621742.32855,4719525.45049,296.68831,seds1_PA,4
622693.3631,4719214.16576,335.37425,seds1_PA,4
623643.55031,4718902.73962,420.32696,seds1_PA,4
624594.39151,4718591.1403,433.2907,seds1_PA,4
625545.136,4718279.38363,489.24043,seds1_PA,4
626495.78376,4717967.46961,465.0277,seds1_PA,4
627446.35914,4717656.50961,305.04249,seds1_PA,4
628396.8136,4717344.28091,297.08891,seds1_PA,4
629347.19602,4717033.00622,295.11903,seds1_PA,4
365284.34388,4803548.32268,4504.7399,seds1_AU,3
366247.61299,4803233.10378,4461.65026,seds1_AU,3
367210.77508,4802917.73141,4537.54344,seds1_AU,3
368173.06874,4802602.18878,4555.60564,seds1_AU,3
369136.77819,4802286.5263,4521.79998,seds1_AU,3
370099.61919,4801970.69356,4546.87913,seds1_AU,3
371062.32913,4801655.81858,4584.36052,seds1_AU,3
372024.95619,4801339.67895,4673.74761,seds1_AU,3
372987.45253,4801024.4971,4686.19205,seds1_AU,3
373950.6033,4800709.17789,4691.09446,seds1_AU,3
374912.88614,4800393.68905,4624.89316,seds1_AU,3
375875.8233,4800078.06261,4649.43297,seds1_AU,3
376838.63068,4799763.39374,4599.85952,seds1_AU,3
377800.59335,4799447.44439,4463.07488,seds1_AU,3
380505.70351,4798561.76953,4486.78788,seds1_AU,3
381467.99838,4798246.36164,4678.44388,seds1_AU,3
382430.1867,4797930.80012,4710.02783,seds1_AU,3
383392.24675,4797616.19618,4758.49893,seds1_AU,3
384354.98284,4797300.34215,4666.16145,seds1_AU,3
385316.83025,4796985.43085,4660.54551,seds1_AU,3
386279.33204,4796670.38043,4672.4108,seds1_AU,3
387240.96696,4796355.16177,4525.33498,seds1_AU,3
388203.25616,4796039.80377,4643.56715,seds1_AU,3
389165.41835,4795725.40315,4566.17329,seds1_AU,3
390665.49156,4795233.99586,4538.53055,seds1_AU,3
391626.64218,4794918.07645,4517.62183,seds1_AU,3
392830.95228,4794524.12717,4459.75368,seds1_AU,3
394452.76454,4793992.84713,4471.28672,seds1_AU,3
395414.23769,4793677.44703,4483.63825,seds1_AU,3
396376.34561,4793363.01759,4489.74822,seds1_AU,3
398688.67426,4792604.709,4463.27888,seds1_AU,3
399650.42176,4792289.7552,4527.3127,seds1_AU,3
407107.53247,4789847.64275,4385.80432,seds1_AU,3
408069.09639,4789532.46308,4359.88517,seds1_AU,3
409370.36217,4789105.6094,4404.30674,seds1_AU,3
410331.66071,4788791.17798,4369.36496,seds1_AU,3
411707.38452,4788340.49136,4413.67135,seds1_AU,3
413111.89731,4787879.90942,4542.81819,seds1_AU,3
414073.54513,4787564.8886,4618.79931,seds1_AU,3
415034.31229,4787250.81373,4786.75044,seds1_AU,3
415994.99017,4786935.47338,4672.30903,seds1_AU,3
416955.54715,4786621.09008,4577.74825,seds1_AU,3
417915.99912,4786306.55258,4518.5713,seds1_AU,3
418877.10525,4785991.87124,4565.8408,seds1_AU,3
419837.34712,4785677.02522,4568.06479,seds1_AU,3
423446.2474,4784494.26095,4574.56991,seds1_AU,3
424406.7344,4784179.80205,4639.89798,seds1_AU,3
425367.11659,4783865.18874,4586.61767,seds1_AU,3
429924.41951,4782372.5205,4350.25181,seds1_AU,3
430884.18666,4782058.13114,4300.30837,seds1_AU,3
432498.02603,4781529.89517,4670.966,seds1_AU,3
433458.27153,4781215.10031,4716.28778,seds1_AU,3
434417.65388,4780900.14244,4651.32016,seds1_AU,3
435377.67803,4780586.14974,4686.55557,seds1_AU,3
436337.59788,4780272.00244,4706.10397,seds1_AU,3
437297.41343,4779957.70052,4757.20405,seds1_AU,3
438257.12465,4779643.24401,4723.30643,seds1_AU,3
