X,Y,Z,formation,formationID
705002.938192,4836962.73593,50.629911495500004,sea,0
695080.8184270001,4839876.87089,67.6132902464,sea,0
685159.155249,4842790.664369999,89.52193074819999,sea,0
675237.927063,4845704.13045,113.05153079600001,sea,0
665317.112079,4848617.28324,130.541018353,sea,0
655396.688767,4851530.1368,124.24797315,sea,0
645476.635329,4854442.70522,120.493410148,sea,0
635556.9300729999,4857355.00257,109.471277045,sea,0
625637.55142,4860267.04292,282.451696918,sea,0
615718.4775970001,4863178.84033,390.519328156,sea,0
605799.687092,4866090.40885,454.60594492900003,sea,0
595881.1580449999,4869001.76253,416.879209058,sea,0
585962.868938,4871912.91545,228.62950845,sea,0
576044.79798,4874823.88162,259.467566908,sea,0
566126.923644,4877734.67511,1021.7801367999999,sea,0
556209.224132,4880645.30996,2046.38964253,sea,0
546291.6778310001,4883555.80019,3256.76550705,sea,0
536374.263088,4886466.15984,3389.54563689,sea,0
526456.9582819999,4889376.402969999,4692.01111892,sea,0
516539.741673,4892286.54359,3618.99145795,sea,0
506622.59163100005,4895196.59573,2659.6842450999998,sea,0
496705.48648500006,4898106.57341,2331.10700111,sea,0
486788.404593,4901016.490669999,4070.12934244,sea,0
476871.324194,4903926.36155,4055.61426532,sea,0
466954.22379399993,4906836.20006,4175.08431338,sea,0
457037.08161800005,4909746.02023,4263.87270582,sea,0
447119.875925,4912655.836069999,4437.32429664,sea,0
437202.58516099997,4915565.6616400005,4474.73547816,sea,0
427285.18764899997,4918475.51093,4490.46106642,sea,0
417367.661665,4921385.398,4500.11891524,sea,0
407449.985515,4924295.33685,4506.25366901,sea,0
397532.137538,4927205.34153,4528.82004013,sea,0
387614.096098,4930115.4260599995,4553.80920666,sea,0
702171.947634,4827378.68765,60.218474311899996,sea,0
692249.939768,4830292.88515,80.5985399132,sea,0
682328.382392,4833206.745180001,118.455745404,sea,0
672407.2537189999,4836120.2818599995,136.135081749,sea,0
662486.532073,4839033.50926,201.629062792,sea,0
652566.195816,4841946.44144,232.86612144400002,sea,0
642646.223194,4844859.0925199995,207.76364868099998,sea,0
632726.592719,4847771.47654,327.250463071,sea,0
622807.282483,4850683.60757,458.592161397,sea,0
612888.270997,4853595.49968,511.410163695,sea,0
602969.536503,4856507.16691,533.1306482690001,sea,0
593051.057283,4859418.62333,495.132589595,sea,0
583132.811807,4862329.88299,201.376358947,sea,0
573214.7783550001,4865240.95993,519.0070748859999,sea,0
563296.9352439999,4868151.86819,448.919219866,sea,0
553379.260829,4871062.62182,1603.42245151,sea,0
543461.733502,4873973.23484,2935.72311824,sea,0
533544.331462,4876883.7213,3574.42396028,sea,0
523627.0331,4879794.09524,4403.86894587,sea,0
513709.816843,4882704.370680001,4783.18237967,sea,0
503792.66092600004,4885614.56165,3346.67952727,sea,0
493875.543696,4888524.6821800005,2554.24262122,sea,0
483958.44353900006,4891434.74631,3215.8916510000004,sea,0
474041.33879799995,4894344.76804,4190.42977333,sea,0
464124.207776,4897254.76141,3805.47134943,sea,0
454207.028734,4900164.74046,3908.83508017,sea,0
444289.780125,4903074.7192,4404.86696264,sea,0
434372.44028100005,4905984.71166,4412.11223095,sea,0
424454.987415,4908894.731869999,4465.29971073,sea,0
414537.399928,4911804.79385,4490.67799235,sea,0
404619.65610100003,4914714.9116400005,4498.16720842,sea,0
394701.73432600003,4917625.09926,4514.19742886,sea,0
384783.612874,4920535.37075,4554.25869472,sea,0
689419.0390069999,4820709.02759,97.47589508729999,sea,0
679497.583403,4823622.94816,135.656943373,sea,0
669576.5503560001,4826536.549380001,147.772657044,sea,0
659655.91815,4829449.84534,398.936495159,sea,0
649735.665112,4832362.85014,450.215919379,sea,0
639815.769532,4835275.577819999,524.556692881,sea,0
629896.209819,4838188.04248,672.167825989,sea,0
619976.964191,4841100.25816,636.604906623,sea,0
610058.0110609999,4844012.23893,564.0540346290001,sea,0
600139.3287310001,4846923.99886,642.788565527,sea,0
590220.89562,4849835.55198,526.553351177,sea,0
580302.689882,4852746.9123599995,151.122880538,sea,0
570384.6900180001,4855658.09402,239.89279258099998,sea,0
560466.87434,4858569.11102,763.9483080010001,sea,0
550549.221127,4861479.9774,1776.93958461,sea,0
540631.708695,4864390.7072,3089.11930575,sea,0
530714.315482,4867301.31445,3752.78442789,sea,0
520797.01981,4870211.81317,4332.24097013,sea,0
510879.79996599996,4873122.2174,4921.64675642,sea,0
500962.63435600005,4876032.541180001,4417.35293579,sea,0
491045.501191,4878942.79854,3097.19021286,sea,0
481128.378958,4881853.0035,3565.61109917,sea,0
471211.24587299995,4884763.170080001,4274.59460935,sea,0
461294.08034700004,4887673.31231,3719.21986916,sea,0
451376.86075200007,4890583.44422,3876.46470908,sea,0
441459.565268,4893493.57983,3634.79094342,sea,0
431542.17234499997,4896403.73317,4350.16506525,sea,0
421624.660319,4899313.918269999,4399.66835706,sea,0
411707.00748200004,4902224.14916,4434.79628948,sea,0
401789.19208899996,4905134.43986,4472.84465518,sea,0
391871.19258800003,4908044.80442,4498.43298281,sea,0
381952.987227,4910955.25685,4550.91877524,sea,0
696509.917264,4808210.9896599995,68.998396473,sea,0
686588.1216600001,4811125.29414,128.120841813,sea,0
676666.7640979999,4814039.26921,140.033370006,sea,0
666745.822778,4816952.92897,454.623279175,sea,0
656825.276174,4819866.28749,646.237148165,sea,0
646905.102425,4822779.35886,645.757557447,sea,0
636985.2800149999,4825692.15715,1118.55725046,sea,0
627065.78717,4828604.69642,1242.93084466,sea,0
617146.602312,4831516.99075,1078.36915239,sea,0
607227.703678,4834429.0541900005,960.700638228,sea,0
597309.069702,4837340.900780001,807.533723387,sea,0
587390.678635,4840252.5446,530.364858433,sea,0
577472.508848,4843163.99968,149.929928203,sea,0
567554.538756,4846075.28006,154.097219336,sea,0
557636.746514,4848986.399809999,329.846918127,sea,0
547719.1106270001,4851897.37294,1901.57080809,sea,0
537801.6094140001,4854808.21349,3238.11492479,sea,0
527884.221162,4857718.93551,3846.70198215,sea,0
517966.924204,4860629.55303,5052.10342716,sea,0
508049.696991,4863540.08007,4900.98341094,sea,0
498132.517714,4866450.53066,4588.10349493,sea,0
488215.364758,4869360.91883,2783.12638197,sea,0
478298.216554,4872271.25861,3207.91218203,sea,0
468381.051345,4875181.564040001,4595.42816193,sea,0
458463.84749300004,4878091.849119999,3965.88315528,sea,0
448546.58332700003,4881002.12789,3803.52510831,sea,0
438629.23714,4883912.41438,3769.01323589,sea,0
428711.78734499996,4886822.72262,4422.5660362,sea,0
418794.212243,4889733.06662,4392.23054273,sea,0
408876.490173,4892643.46043,4399.98091326,sea,0
398958.599443,4895553.91806,4443.37692906,sea,0
389040.51831799996,4898464.45354,4501.19214881,sea,0
379122.22518400004,4901375.08093,4567.96428168,sea,0
693678.8891050001,4798627.33241,86.19120567440001,sea,0
683757.193859,4801541.6813199995,124.31593379700001,sea,0
673835.930369,4804455.70486,165.442062986,sea,0
663915.0769430001,4807369.4171,719.1937657110001,sea,0
653994.611938,4810282.83215,869.379445106,sea,0
644074.5136810001,4813195.96407,906.8311856180001,sea,0
634154.760546,4816108.82692,932.7267837999999,sea,0
624235.330726,4819021.434780001,1073.18001039,sea,0
614316.2026930001,4821933.80172,1413.37241968,sea,0
604397.354736,4824845.94178,1139.3561889,sea,0
594478.765191,4827757.86902,967.2475977080001,sea,0
584560.412368,4830669.59751,612.002701121,sea,0
574642.274624,4833581.14127,131.856336597,sea,0
564724.330365,4836492.51435,270.06955165200003,sea,0
554806.557814,4839403.7308,473.61406890800004,sea,0
544888.935397,4842314.80465,1099.72446714,sea,0
534971.441433,4845225.74995,2694.79290765,sea,0
525054.054214,4848136.5807300005,4034.41380763,sea,0
515136.75223100005,4851047.311000001,4470.38287912,sea,0
505219.51364200003,4853957.95482,4861.27106367,sea,0
495302.31688100006,4856868.526190001,4669.13397311,sea,0
485385.140351,4859779.03917,3949.09631085,sea,0
475467.96219799994,4862689.5077599995,2463.24705724,sea,0
465550.760996,4865599.94601,3354.57187676,sea,0
455633.51490600005,4868510.367930001,4658.0519638000005,sea,0
445716.202364,4871420.78756,3300.55530645,sea,0
435798.801625,4874331.21891,3864.75490608,sea,0
425881.291061,4877241.67601,3958.15523818,sea,0
415963.64901500003,4880152.1729,4400.52659083,sea,0
406045.853875,4883062.7236,4400.125973800001,sea,0
396127.88376399997,4885973.34215,4397.36368279,sea,0
386209.717233,4888884.04257,4386.86355205,sea,0
376291.33249299997,4891794.8389,4609.41687833,sea,0
690847.860264,4789043.79865,91.1931162391,sea,0
680926.261497,4791958.18591,122.8097868,sea,0
671005.088182,4794872.25185,513.067378321,sea,0
661084.318807,4797786.01052,1065.29738877,sea,0
651163.931535,4800699.47602,1029.44177377,sea,0
641243.904879,4803612.6624,1131.02849771,sea,0
631324.217101,4806525.583740001,1154.2638099,sea,0
621404.84644,4809438.25413,1228.37653035,sea,0
611485.771335,4812350.687609999,1635.32885061,sea,0
601566.970127,4815262.89822,1364.41953056,sea,0
591648.421129,4818174.90004,1106.03261751,sea,0
581730.102634,4821086.70713,657.723263271,sea,0
